Receipt,Delivery,Effective Date,Expiry Date,Service Mode,Commodity Name,Charge,Rate Basis,Container Size,Currency,Rate
2,40,10/20/2018,10/31/2018,1,2,BAS,1,1,USD,920
2,40,10/20/2018,10/31/2018,1,2,BAS,1,2,USD,1050
2,40,10/20/2018,10/31/2018,1,2,BAS,1,3,USD,1050
2,40,10/20/2018,10/31/2018,1,2,BAS,1,4,USD,1250
2,40,10/20/2018,10/31/2018,1,2,DDF,2,1,AED,450
2,40,10/20/2018,10/31/2018,1,2,DDF,2,2,AED,450
2,40,10/20/2018,10/31/2018,1,2,DDF,2,3,AED,450
2,40,10/20/2018,10/31/2018,1,2,DDF,2,4,AED,450
2,40,10/20/2018,10/31/2018,1,2,DHC,1,1,AED,682
2,40,10/20/2018,10/31/2018,1,2,DHC,1,2,AED,1025
2,40,10/20/2018,10/31/2018,1,2,DHC,1,3,AED,1025
2,40,10/20/2018,10/31/2018,1,2,DHC,1,4,AED,1025
2,40,10/20/2018,10/31/2018,1,2,ERS,1,1,USD,100
2,40,10/20/2018,10/31/2018,1,2,ERS,1,2,USD,200
2,40,10/20/2018,10/31/2018,1,2,ERS,1,3,USD,200
2,40,10/20/2018,10/31/2018,1,2,ERS,1,4,USD,200
2,40,10/20/2018,10/31/2018,1,2,IMP,1,1,AED,31
2,40,10/20/2018,10/31/2018,1,2,IMP,1,2,AED,73
2,40,10/20/2018,10/31/2018,1,2,IMP,1,3,AED,73
2,40,10/20/2018,10/31/2018,1,2,IMP,1,4,AED,73
2,40,10/20/2018,10/31/2018,1,2,LSS,1,1,USD,30
2,40,10/20/2018,10/31/2018,1,2,LSS,1,2,USD,60
2,40,10/20/2018,10/31/2018,1,2,LSS,1,3,USD,60
2,40,10/20/2018,10/31/2018,1,2,LSS,1,4,USD,60
2,40,10/20/2018,10/31/2018,1,2,EBS,1,1,USD,30
2,40,10/20/2018,10/31/2018,1,2,EBS,1,2,USD,60
2,40,10/20/2018,10/31/2018,1,2,EBS,1,3,USD,60
2,40,10/20/2018,10/31/2018,1,2,EBS,1,4,USD,60
2,45,10/20/2018,10/31/2018,1,2,BAS,1,1,USD,775
2,45,10/20/2018,10/31/2018,1,2,BAS,1,2,USD,1125
2,45,10/20/2018,10/31/2018,1,2,BAS,1,3,USD,1125
2,45,10/20/2018,10/31/2018,1,2,BAS,1,4,USD,1325
2,45,10/20/2018,10/31/2018,1,2,CFD,1,1,USD,100
2,45,10/20/2018,10/31/2018,1,2,CFD,1,2,USD,200
2,45,10/20/2018,10/31/2018,1,2,CFD,1,3,USD,200
2,45,10/20/2018,10/31/2018,1,2,CFD,1,4,USD,200
2,45,10/20/2018,10/31/2018,1,2,ERS,1,1,USD,530
2,45,10/20/2018,10/31/2018,1,2,ERS,1,2,USD,1060
2,45,10/20/2018,10/31/2018,1,2,ERS,1,3,USD,1060
2,45,10/20/2018,10/31/2018,1,2,ERS,1,4,USD,1060
2,45,10/20/2018,10/31/2018,1,2,LSS,1,1,USD,30
2,45,10/20/2018,10/31/2018,1,2,LSS,1,2,USD,60
2,45,10/20/2018,10/31/2018,1,2,LSS,1,3,USD,60
2,45,10/20/2018,10/31/2018,1,2,LSS,1,4,USD,60
2,45,10/20/2018,10/31/2018,1,2,EBS,1,1,USD,30
2,45,10/20/2018,10/31/2018,1,2,EBS,1,2,USD,60
2,45,10/20/2018,10/31/2018,1,2,EBS,1,3,USD,60
2,45,10/20/2018,10/31/2018,1,2,EBS,1,4,USD,60
2,41,10/20/2018,10/31/2018,1,2,BAS,1,1,USD,970
2,41,10/20/2018,10/31/2018,1,2,BAS,1,2,USD,1100
2,41,10/20/2018,10/31/2018,1,2,BAS,1,3,USD,1100
2,41,10/20/2018,10/31/2018,1,2,BAS,1,4,USD,1300
2,41,10/20/2018,10/31/2018,1,2,DDF,2,1,AED,450
2,41,10/20/2018,10/31/2018,1,2,DDF,2,2,AED,450
2,41,10/20/2018,10/31/2018,1,2,DDF,2,3,AED,450
2,41,10/20/2018,10/31/2018,1,2,DDF,2,4,AED,450
2,41,10/20/2018,10/31/2018,1,2,DHC,1,1,AED,715
2,41,10/20/2018,10/31/2018,1,2,DHC,1,2,AED,1140
2,41,10/20/2018,10/31/2018,1,2,DHC,1,3,AED,1140
2,41,10/20/2018,10/31/2018,1,2,DHC,1,4,AED,1140
2,41,10/20/2018,10/31/2018,1,2,ERS,1,1,USD,100
2,41,10/20/2018,10/31/2018,1,2,ERS,1,2,USD,200
2,41,10/20/2018,10/31/2018,1,2,ERS,1,3,USD,200
2,41,10/20/2018,10/31/2018,1,2,ERS,1,4,USD,200
2,41,10/20/2018,10/31/2018,1,2,IMP,1,1,AED,127
2,41,10/20/2018,10/31/2018,1,2,IMP,1,2,AED,127
2,41,10/20/2018,10/31/2018,1,2,IMP,1,3,AED,127
2,41,10/20/2018,10/31/2018,1,2,IMP,1,4,AED,127
2,41,10/20/2018,10/31/2018,1,2,LSS,1,1,USD,30
2,41,10/20/2018,10/31/2018,1,2,LSS,1,2,USD,60
2,41,10/20/2018,10/31/2018,1,2,LSS,1,3,USD,60
2,41,10/20/2018,10/31/2018,1,2,LSS,1,4,USD,60
2,41,10/20/2018,10/31/2018,1,2,EBS,1,1,USD,30
2,41,10/20/2018,10/31/2018,1,2,EBS,1,2,USD,60
2,41,10/20/2018,10/31/2018,1,2,EBS,1,3,USD,60
2,41,10/20/2018,10/31/2018,1,2,EBS,1,4,USD,60
2,46,10/20/2018,10/31/2018,1,2,BAS,1,1,USD,680
2,46,10/20/2018,10/31/2018,1,2,BAS,1,2,USD,800
2,46,10/20/2018,10/31/2018,1,2,BAS,1,3,USD,800
2,46,10/20/2018,10/31/2018,1,2,BAS,1,4,USD,1000
2,46,10/20/2018,10/31/2018,1,2,DDF,2,1,SAR,50
2,46,10/20/2018,10/31/2018,1,2,DDF,2,2,SAR,50
2,46,10/20/2018,10/31/2018,1,2,DDF,2,3,SAR,50
2,46,10/20/2018,10/31/2018,1,2,DDF,2,4,SAR,50
2,46,10/20/2018,10/31/2018,1,2,ERS,1,1,USD,100
2,46,10/20/2018,10/31/2018,1,2,ERS,1,2,USD,200
2,46,10/20/2018,10/31/2018,1,2,ERS,1,3,USD,200
2,46,10/20/2018,10/31/2018,1,2,ERS,1,4,USD,200
